Full Name, Brand, Category Name, Properties, MRP, Discount
Fresh Potato Baby 750 g, Fresh, Fresh Vegetables, 750 g, 26.25, 0
Fresh Broad Beans Avare Chikadi (Papadi) 250 g, Fresh, Fresh Vegetables, 250 g, 24, 0
Fresh Brinjal Gulabi 250 g, Fresh, Fresh Vegetables, 250 g, 10.5, 0
Fresh Basket Carrots English Otty 500 g, Fresh Basket, Fresh Vegetables, 500 g, 37.5, 0
Fresh Spring Onion Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 10, 0
Fresh Knol Khol 250 g, Fresh, Fresh Vegetables, 250 g, 14, 0
Fresh Basket Parsley Curle 100 g, Fresh Basket, Fresh Vegetables, 100 g, 29.9, 0
Fresh Basket Chinese Pakchoy 200 g, Fresh Basket, Fresh Vegetables, 200 g, 19, 0
Fresh Basket Cluster Beans 300 g, Fresh Basket, Fresh Vegetables, 300 g, 18, 0
Fresh Ash Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 16, 0
Fresh Basket Lemon 1 pc, Fresh Basket, Fresh Vegetables, 1 pc, 34, 0
Fresh Basket Chilli Jalapeno Xanadu Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 9.33, 0
Ambrosia Veg Brinjal Small 250 g, Ambrosia, Fresh Vegetables, 250 g, 7, 0.7
Ambrosia Beet Root Samll 500 g, Ambrosia, Fresh Vegetables, 500 g, 24, 2.4
Ambrosia Lettuce Iceberg Green 500 g, Ambrosia, Fresh Vegetables, 500 g, 60, 6
Ambrosia Lettuce Lolo Green 500 g, Ambrosia, Fresh Vegetables, 500 g, 60, 6
Fresh Onion White Bundled 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 59, 2.95
Fresh Malbar Spinach 100 g, Fresh, Fresh Vegetables, 100 g, 0.8, 0
Fresh Bottle Gourd Round 300 g, Fresh, Fresh Vegetables, 300 g, 6.3, 0
Fresh Basket Brinjal White 250 g, Fresh Basket, Fresh Vegetables, 250 g, 10.5, 0
Fresh Ground Nut Pods (Fresh) 800 g, Fresh, Fresh Vegetables, 800 g, 60, 0
Fresh Basket Brinjal Gulabi 250 g, Fresh Basket, Fresh Vegetables, 250 g, 10.5, 0
